Industry,Year,Month,Weekly-Earnings,Employees (Thousands),Date
Oil and gas extraction,2006,1,0,127.9,1/1/2006
Oil and gas extraction,2006,2,0,128.9,2/1/2006
Oil and gas extraction,2006,3,1142.34,130.3,3/1/2006
Oil and gas extraction,2006,4,1243.21,132,4/1/2006
Oil and gas extraction,2006,5,1184.42,133.1,5/1/2006
Oil and gas extraction,2006,6,1211.22,136.7,6/1/2006
Oil and gas extraction,2006,7,1248.5,137.1,7/1/2006
Oil and gas extraction,2006,8,1187.6,138,8/1/2006
Oil and gas extraction,2006,9,1165.44,135.9,9/1/2006
Oil and gas extraction,2006,10,1266.23,137.3,10/1/2006
Oil and gas extraction,2006,11,1204.67,137.6,11/1/2006
Oil and gas extraction,2006,12,1180.66,138.9,12/1/2006
Oil and gas extraction,2007,1,1185.89,139.9,1/1/2007
Oil and gas extraction,2007,2,1212.04,140.6,2/1/2007
Oil and gas extraction,2007,3,1199.31,141.8,3/1/2007
Oil and gas extraction,2007,4,1297.62,142.2,4/1/2007
Oil and gas extraction,2007,5,1234.23,143.7,5/1/2007
Oil and gas extraction,2007,6,1246.17,147.2,6/1/2007
Oil and gas extraction,2007,7,1299.48,148.6,7/1/2007
Oil and gas extraction,2007,8,1206.25,149.3,8/1/2007
Oil and gas extraction,2007,9,1288.35,147.3,9/1/2007
Oil and gas extraction,2007,10,1235.46,148.5,10/1/2007
Oil and gas extraction,2007,11,1221.97,151.9,11/1/2007
Oil and gas extraction,2007,12,1244.7,153.1,12/1/2007
Oil and gas extraction,2008,1,1296.7,154,1/1/2008
Oil and gas extraction,2008,2,1198.47,153.5,2/1/2008
Oil and gas extraction,2008,3,1476.6,155.1,3/1/2008
Oil and gas extraction,2008,4,1274.5,152.8,4/1/2008
Oil and gas extraction,2008,5,1277.59,157.9,5/1/2008
Oil and gas extraction,2008,6,1364.25,161.8,6/1/2008
Oil and gas extraction,2008,7,1390.55,163.8,7/1/2008
Oil and gas extraction,2008,8,1370.8,165.6,8/1/2008
Oil and gas extraction,2008,9,1286.38,164.6,9/1/2008
Oil and gas extraction,2008,10,1295.22,164.4,10/1/2008
Oil and gas extraction,2008,11,1468.74,165.4,11/1/2008
