c,d0,d1,d2,d3
c0,1,16,9,17
c0,42,9,40,38
c1,34,31,37,0
c1,20,22,40,1
c2,42,14,6,2
c2,36,49,44,3
c3,26,43,11,19
c3,8,9,28,29
c4,9,1,26,11
c4,19,7,47,33
c5,21,26,5,1
c5,22,40,7,8
c6,22,47,24,40
c6,15,49,18,22
c7,4,27,25,24
c7,34,21,31,24
c8,37,37,3,0
c8,34,6,6,3
c9,16,37,44,26
c9,14,44,26,17
c10,16,2,20,49
c10,34,25,30,34
c11,13,28,36,26
c11,14,12,2,23
c12,16,16,31,22
c12,22,3,3,4
c13,11,11,17,19
c13,23,19,28,44
c14,38,40,36,0
c14,46,21,10,31
c15,45,27,14,40
c15,10,48,41,26
c16,40,40,23,28
c16,24,12,6,30
c17,2,23,10,29
c17,39,41,31,28
c18,28,30,42,6
c18,6,35,37,3
c19,7,29,15,38
c19,14,40,41,22
c20,3,15,7,30
c20,34,48,45,41
c21,41,40,0,8
c21,23,29,43,23
c22,17,29,17,47
c22,30,13,15,39
c23,44,46,10,42
c23,19,3,6,44
c24,15,21,48,24
c24,34,37,16,42
c25,39,12,17,44
c25,27,42,41,26
c26,18,30,11,33
c26,2,3,19,31
c27,30,11,4,31
c27,40,7,47,30
c28,31,8,0,4
c28,10,12,40,22
c28,42,14,9,44
c29,9,9,45,42
c30,34,32,5,9
c30,48,38,42,18
c31,24,19,13,47
c31,45,32,20,22
c32,15,21,17,10
c32,28,44,45,26
c33,24,16,14,13
c33,22,27,28,9
c34,29,31,25,1
c34,45,32,16,34
c35,46,44,21,48
c35,1,18,17,18
c36,29,42,11,9
c36,38,40,29,11
c37,5,6,42,33
c37,26,0,13,16
c38,1,30,48,11
c38,7,39,43,23
c39,45,20,20,39
c39,42,11,43,40
c40,17,32,15,45
c40,24,10,36,49
c41,28,6,18,18
c41,0,24,4,0
c42,9,29,16,5
c42,17,43,40,16
c43,9,2,46,35
c43,24,0,12,49
c44,24,24,13,26
c44,22,49,28,14
c45,12,29,18,19
c45,1,5,28,31
c46,22,45,43,11
c46,37,30,13,39
c47,17,30,7,38
c47,32,17,17,18
c48,31,17,11,24
c48,20,15,41,7
c49,3,30,40,48
c49,27,47,40,41
