Order ID,Category,Subcategory,Region,Sales
CA-2016-121755,Technology,Accessories,West,90.57
CA-2016-118255,Technology,Accessories,Central,45.98
CA-2016-169194,Technology,Accessories,East,45
CA-2016-111682,Technology,Accessories,East,30
CA-2015-135545,Technology,Accessories,West,13.98
CA-2017-155558,Technology,Accessories,Central,19.99
CA-2016-158568,Technology,Accessories,Central,95.976
US-2015-156867,Technology,Accessories,West,238.896
CA-2017-119004,Technology,Accessories,South,74.112
CA-2015-129476,Technology,Accessories,Central,339.96
CA-2015-119697,Technology,Accessories,East,54.384
CA-2014-166191,Technology,Accessories,Central,408.744
CA-2014-158274,Technology,Accessories,South,29
CA-2014-123260,Technology,Accessories,West,176.8
CA-2015-101007,Technology,Accessories,Central,20.8
CA-2015-146262,Technology,Accessories,East,89.584
US-2017-100930,Technology,Accessories,South,617.976
CA-2016-145625,Technology,Accessories,West,3347.37
CA-2017-163139,Technology,Accessories,East,20.37
CA-2015-155040,Technology,Accessories,West,79.9
CA-2015-155334,Technology,Accessories,West,209.93
CA-2015-130883,Technology,Accessories,West,239.8
CA-2016-110772,Technology,Accessories,East,255.984
CA-2014-164973,Technology,Accessories,East,360
CA-2016-162138,Technology,Accessories,West,99.99
CA-2016-129714,Technology,Accessories,East,6.79
US-2014-119137,Technology,Accessories,West,1023.936
US-2014-119137,Technology,Accessories,West,479.04
CA-2015-125395,Technology,Accessories,Central,41.9
US-2015-168935,Technology,Accessories,South,83.976
CA-2017-101798,Technology,Accessories,East,39.98
CA-2016-108987,Technology,Accessories,Central,57.584
CA-2017-117457,Technology,Accessories,West,179.95
CA-2014-142048,Technology,Accessories,West,196.752
US-2016-123750,Technology,Accessories,South,408.744
US-2016-123750,Technology,Accessories,South,291.96
US-2014-150574,Technology,Accessories,South,247.8
CA-2016-100153,Technology,Accessories,Central,63.88
CA-2015-109638,Technology,Accessories,West,899.91
CA-2014-134677,Technology,Accessories,West,9.09
CA-2014-127691,Technology,Accessories,East,159.98
CA-2014-133753,Technology,Accessories,Central,63.984
CA-2016-169166,Technology,Accessories,West,93.98
CA-2017-135307,Technology,Accessories,Central,38.04
CA-2015-157812,Technology,Accessories,Central,18.392
US-2016-139486,Technology,Accessories,West,66.26
CA-2014-140795,Technology,Accessories,Central,468.9
CA-2014-103849,Technology,Accessories,Central,58.112
CA-2014-135405,Technology,Accessories,Central,31.2
US-2016-135720,Technology,Accessories,West,119.8
CA-2017-144694,Technology,Accessories,South,17.88
CA-2017-106103,Technology,Accessories,Central,132.52
CA-2016-160745,Technology,Accessories,West,316
CA-2017-140844,Technology,Accessories,East,103.12
CA-2017-130351,Technology,Accessories,Central,99.39
US-2017-119438,Technology,Accessories,Central,27.816
CA-2014-157784,Technology,Accessories,South,479.97
CA-2015-131534,Technology,Accessories,West,166.24
CA-2014-138527,Technology,Accessories,South,15.216
CA-2014-112158,Technology,Accessories,East,119.96
US-2017-100048,Technology,Accessories,East,299.97
CA-2017-131954,Technology,Accessories,West,179.97
CA-2014-132500,Technology,Accessories,West,49.98
CA-2014-106803,Technology,Accessories,Central,119.8
CA-2014-162775,Technology,Accessories,South,646.74
US-2015-157014,Technology,Accessories,East,24
US-2015-157014,Technology,Accessories,East,47.984
CA-2015-140921,Technology,Accessories,Central,149.97
CA-2014-151995,Technology,Accessories,West,25.78
CA-2017-143686,Technology,Accessories,West,1399.93
CA-2017-101434,Technology,Accessories,East,239.97
US-2014-102071,Technology,Accessories,West,67.8
US-2014-102071,Technology,Accessories,West,167.97
CA-2014-107755,Technology,Accessories,East,115.36
CA-2016-134474,Technology,Accessories,South,191.472
CA-2016-116736,Technology,Accessories,East,29.99
CA-2016-116736,Technology,Accessories,East,371.97
CA-2017-132934,Technology,Accessories,East,149.95
CA-2017-137596,Technology,Accessories,Central,1928.78
