year,city,continent
1896,Athens,Europe
1900,Paris,Europe
1904,St. Louis,North America
1908,London,Europe
1912,Stockholm,Europe
1920,Antwerp,Europe
1924,Paris,Europe
1928,Amsterdam,Europe
1932,Los Angeles,North America
1936,Berlin,Europe
1948,London,Europe
1952,Helsinki,Europe
1956,Melbourne,Oceania
1960,Rome,Europe
1964,Tokyo,Asia
1968,Mexico City,North America
1972,Munich,Europe
1976,Montreal,North America
1980,Moscow,Europe
1984,Los Angeles,North America
1988,Seoul,Asia
1992,Barcelona,Europe
1996,Atlanta,North America
2000,Sydney,Oceania
2004,Athens,Europe
2008,Beijing,Asia
2012,London,Europe
2016,Rio de Janeiro,South America
2020,Tokyo,Asia
2024,Paris,Europe
