year,type,continent,country,value,adj_value
1995,Imports,North America,Greenland,7.6,11.81952
1995,Imports,North America,Canada,144369.9,224524.0685
1995,Imports,North America,St Pierre and Miquelon,3.4,5.28768
1995,Imports,North America,Mexico,62100.4,96578.54208
1995,Imports,North America,Guatemala,1526.8,2374.47936
1995,Imports,North America,Belize,52.1,81.02592
1995,Imports,North America,El Salvador,812.2,1263.13344
1995,Imports,North America,Honduras,1441.2,2241.35424
1995,Imports,North America,Nicaragua,238.8,371.38176
1995,Imports,North America,Costa Rica,1843.2,2866.54464
1995,Imports,North America,Panama,307.1,477.60192
1995,Imports,North America,Bermuda,10.4,16.17408
1995,Imports,North America,Bahamas,156.7,243.69984
1995,Imports,North America,Cuba,0,0
1995,Imports,North America,Jamaica,846.9,1317.09888
1995,Imports,North America,Turks and Caicos Islands,5,7.776
1995,Imports,North America,Cayman Islands,18.2,28.30464
1995,Imports,North America,Haiti,129.9,202.02048
1995,Imports,North America,Dominican Republic,3398.9,5285.96928
1995,Imports,North America,Anguilla,0,0
1995,Imports,North America,British Virgin Islands,11.2,17.41824
1995,Imports,North America,St Kitts and Nevis,22.3,34.68096
1995,Imports,North America,Antigua and Barbuda,2.8,4.35456
1995,Imports,North America,Montserrat,2,3.1104
1995,Imports,North America,Dominica,6.6,10.26432
1995,Imports,North America,St Lucia,35.1,54.58752
1995,Imports,North America,St Vincent and the Grenadines,7.9,12.28608
1995,Imports,North America,Grenada,5.3,8.24256
1995,Imports,North America,Barbados,37.7,58.63104
1995,Imports,North America,Trinidad and Tobago,1089.2,1693.92384
1995,Imports,North America,Netherlands Antilles,289.8,450.69696
1995,Imports,North America,Aruba,420.7,654.27264
1995,Imports,North America,Guadeloupe,1.2,1.86624
1995,Imports,North America,Martinique,1.9,2.95488
1995,Imports,South America,Colombia,3791,5895.7632
1995,Imports,South America,Venezuela,9764,15184.9728
1995,Imports,South America,Guyana,107.4,167.02848
1995,Imports,South America,Suriname,100,155.52
1995,Imports,South America,French Guiana,5.2,8.08704
1995,Imports,South America,Ecuador,1939.7,3016.62144
1995,Imports,South America,Peru,1034.4,1608.69888
1995,Imports,South America,Bolivia,262.5,408.24
1995,Imports,South America,Chile,1930.8,3002.78016
1995,Imports,South America,Brazil,8832.9,13736.92608
1995,Imports,South America,Paraguay,55,85.536
1995,Imports,South America,Uruguay,167.2,260.02944
1995,Imports,South America,Argentina,1760.8,2738.39616
1995,Imports,South America,Falkland Islands(Islas Malvin,0.5,0.7776
