week,year,avgTempF
1,1,35.3
2,1,34.3
3,1,34.8
4,1,33.7
5,1,32.8
6,1,34.4
7,1,34.7
8,1,32.8
9,1,38.3
10,1,40.7
11,1,42.4
12,1,42.4
13,1,47.4
14,1,51.3
15,1,54.3
16,1,56.5
17,1,55.1
18,1,57.6
19,1,63.5
20,1,67.2
21,1,65.7
22,1,69.7
23,1,71
24,1,74
25,1,76.7
26,1,74.2
27,1,78.2
28,1,80.2
29,1,78.6
30,1,80.4
31,1,76.3
32,1,80.4
33,1,76.8
34,1,73.7
35,1,76.3
36,1,70.3
37,1,69.1
38,1,69.3
39,1,63.9
40,1,59.8
41,1,62.7
42,1,55.1
43,1,55.2
44,1,54
45,1,47.5
46,1,46.9
47,1,40.9
48,1,38.5
49,1,38.5
50,1,38.8
51,1,37.7
52,1,33.4
1,2,32.9
2,2,30.3
3,2,34.7
4,2,32.7
5,2,31.4
6,2,33.3
7,2,34.5
8,2,37.2
9,2,37.5
10,2,40.6
11,2,44
12,2,43.2
13,2,46.7
14,2,47.5
15,2,52.2
16,2,54.6
17,2,55.2
18,2,59.8
19,2,59.7
20,2,62.4
21,2,67.5
22,2,69.3
23,2,70.8
24,2,76.8
25,2,73
26,2,75.8
27,2,77.3
28,2,78.6
29,2,79.4
30,2,77.1
31,2,76.2
32,2,77.8
33,2,78.5
34,2,74.3
35,2,73.6
36,2,72.3
37,2,69.8
38,2,69.8
39,2,67.6
40,2,59.9
41,2,57.7
42,2,55.8
43,2,54.1
44,2,52.9
45,2,46.4
46,2,43.9
47,2,41
48,2,43.1
49,2,38.9
50,2,37.4
51,2,37.3
52,2,36.6
